fake;fake
MRMCEMOR;Социальная карта Мордовии
MRMCORB;Карта Оренбуржца
MPMCNNSF;карта «Ситикард»
VPTRP7;карта
VSMNNS;карта «Ситикард»
VMCSEVER;Мультикарта
MRPVCMS;Мультикарта
CCVSP;Карта возможностей
VMCRZD;Мультикарта
MRUIRECRUIT;Мультикарта
MPMCNN;карта «Ситикард»
MRCLSMZD;карта
MRMCKID;Детская Мультикарта
MRDCCM1;Карта Москвича
MRPVMNNSF;карта «Ситикард»
CCBETSUM;карта ВТБ-ЦУМ
MIRMAUI;Мультикарта
MRMCSMRRPKS;Карта жителя Самарской области
VCU;Мультикарта
DCMKVPT;Карта возможностей
PPVS;карта
VSSVTB24;карта
MRMCSMR;Карта жителя Самарской области
DMRPSUP;Цифровая Мультикарта MIR Supreme
MPMCE;ЭкоМультикарта
VSMTS;карта
MRMCSMRRU;Карта жителя Самарской области
MRPVMTRS;Мультикарта «Тройка»
MRGLSMZD;карта
MRMCPM;Мультикарта
VMCTRS;Мультикарта «Тройка»
VMCELDOR;Мультикарта
MRVSHS;карта
VGS;карта
MWV;карта
VSMS;карта
MRPVMNNS;карта «Ситикард»
VIVFIFA;карта
MPMCTRS;Мультикарта «Тройка»
MRKAM;Карта учащегося
MBMNNSF;карта «Ситикард»
MRMCSMRCU;Карта жителя Самарской области
DCUGKV;Карта возможностей
DVPTSUM;Цифровая карта ВТБ-ЦУМ
VS;карта
VITR;карта
CCMRKVPI;карта
MRMCNN;карта «Ситикард»
MPSVTB24;карта
MRMCSKH;Мультикарта
VPTRP7A1;карта
PPMCW;карта
DCMKV;Карта возможностей
DMTSUM;Цифровая карта ВТБ-ЦУМ
MBA0P9M;Автокарта
MRDCCMMD;Мультикарта
MPS;карта
MRMCMOAV;Мультикарта
DCBETSUM;Цифровая карта ВТБ-ЦУМ
MRMCSMRCPS;Карта жителя Самарской области
VSMNN;карта «Ситикард»
VPMCE;ЭкоМультикарта
MRPLS;карта
MTSUM;карта ВТБ-ЦУМ
DMPRPTSUM;Цифровая карта ВТБ-ЦУМ
VGV0P3;карта
MRMCSMRS;Карта жителя Самарской области
MRPSUPS;карта
MRMCSMRRES;Карта жителя Самарской области
VSA0P9;Автокарта
MSSKMZ;Мультикарта
MRMCNNSF;карта «Ситикард»
MRMCEKATS;Единая Социальная карта «Уралочка»
MRMCMSKSUBF;Карта Москвича
VCIM;Мультикарта
DMPTSUM;Цифровая карта ВТБ-ЦУМ
MRMCPE;ЭкоМультикарта
DUPIPRPMC;карта
MU;Мультикарта
MGSAVD;карта
MRMCEKATKS;Единая Социальная карта «Уралочка»
MRMCP;Мультикарта
MRPVSVTB24;карта
MGSKMZ;Мультикарта
MRPLSMO;карта
MSS;карта
MGTRP3;карта
PPVI;карта
MBTRP9;карта
VIA;Автокарта
MRMCOMSKNLGS;Единая карта Омска
VSMNNSF;карта «Ситикард»
MRMCORBKS;Карта Оренбуржца
VSME;карта
DMRPMC;карта
MRDCCMZP1;Карта Москвича
MBMNNF;карта «Ситикард»
VIPKID;карта
MGV0P3;карта
VSTRS;карта
DCUPKVP;Карта возможностей
DCVKVPT;Карта возможностей
MRPVMNNF;карта «Ситикард»
MBV0P9M;карта
VSMFIFA;карта
MRMCEKAT;Единая Социальная карта «Уралочка»
VSV0P9;карта
VCS;карта
MRMCVSHS;Мультикарта
VCSVTB24;карта
MRMCEMORS;Социальная карта Мордовии
MRPVMT;карта
MRMCOMSKSTS;Единая карта Омска
MRPVSUP;карта
PPMB;карта
VID;карта
DCVKV;Карта возможностей
CCMBKVTP;Карта Возможностей
MRMCE;ЭкоМультикарта
MRMCSMRCES;Карта жителя Самарской области
MBTRS;карта
MIRMAS;Мультикарта
DMPMC;Цифровая Мультикарта
VIFIFA;карта
VSFIFA;карта
DMRMC;Цифровая Мультикарта
MSSAVD;карта
MG;карта
VPMCT;Мультикарта
MP2;карта
MRPROVER;карта
DVPRPMC;карта
VMCFIFA;Мультикарта
VIV;карта
MBM;карта
DCMRKVM;Карта возможностей
MIRMCL;карта
ME;карта
VSV0P9M;карта
MRMCPMOR;карта «Приморец»
MIRMMKS;Мультикарта
MRMCOMSKPNSS;Единая карта Омска
DVPRPTSUM;Цифровая карта ВТБ-ЦУМ
DMPRPMC;Цифровая Мультикарта
VPMCNN;карта «Ситикард»
MRMCSMRRUKS;Карта жителя Самарской области
VCCASH;карта
MRMCOMSKS;Единая карта Омска
MRMCEMORKS;Социальная карта Мордовии
MIRMA;Мультикарта
CCMBP;Карта возможностей
MRMCSMRCPKS;Карта жителя Самарской области
VPSVTB24;карта
DMMC;Цифровая Мультикарта
VPMCKID;Детская Мультикарта
VSS;карта
MGSVTB24;карта
MPMC;Мультикарта
